,geo_value,time_value,direction,value,stderr,sample_size
169,05117,20200516,0,0.0,,
170,05119,20200516,0,3.572239615627,,
171,05121,20200516,0,0.0,,
172,05123,20200516,-1,8.0019204609106,,
173,05125,20200516,0,0.81674657170627,,
174,05127,20200516,0,0.0,,
175,05129,20200516,0,0.0,,
176,05131,20200516,0,0.0,,
177,05133,20200516,0,11.759863585582,,
178,05135,20200516,-1,0.0,,
179,05137,20200516,0,0.0,,
180,05139,20200516,0,5.1703634765524,,
181,05141,20200516,0,0.0,,
182,05143,20200516,0,4.1808292256686,,
183,05145,20200516,0,0.0,,
184,05147,20200516,0,0.0,,
185,05149,20200516,1,18.74326413945,,
186,06001,20200516,0,-0.95732198747225,,
187,06003,20200516,0,0.0,,
188,06005,20200516,0,0.0,,
189,06007,20200516,0,0.0,,
190,06009,20200516,0,0.0,,
191,06011,20200516,0,0.0,,
192,06013,20200516,0,1.8205051294899,,
193,06015,20200516,0,0.0,,
194,06017,20200516,0,0.0,,
195,06019,20200516,0,8.2073784332115,,
196,06021,20200516,0,0.0,,
197,06023,20200516,0,2.9507664615884,,
198,06025,20200516,0,0.0,,
199,06027,20200516,0,0.0,,
200,06029,20200516,0,4.9988780295978,,
201,06031,20200516,0,9.153916568589,,
202,06033,20200516,0,0.0,,
203,06035,20200516,0,0.0,,
204,06037,20200516,1,10.399331334948,,
205,06039,20200516,0,0.63561880668925,,
206,06041,20200516,0,7.7271989676462,,
207,06043,20200516,0,0.0,,
208,06045,20200516,0,0.0,,
209,06047,20200516,0,3.9613944108326,,
210,06049,20200516,0,0.0,,
211,06051,20200516,0,0.0,,
212,06053,20200516,0,1.151911828061,,
213,06055,20200516,0,5.081891044256,,
214,06057,20200516,0,0.0,,
215,06059,20200516,0,3.0544523839214,,
216,06061,20200516,0,0.0,,
217,06063,20200516,0,0.0,,
218,06065,20200516,0,0.0,,
219,06067,20200516,0,0.70873640031494,,
220,06069,20200516,0,1.5921538657496,,
221,06071,20200516,1,6.9722052121821,,
222,06073,20200516,0,8.1178313707752,,
223,06075,20200516,0,3.1762272999005,,
