,geo_value,time_value,direction,value,stderr,sample_size
0,01000,20200514,0.0,0.54694621695533,0.20484154796401,704.9828
1,01089,20200514,0.0,0.25296033293288,0.39936270865834,151.0326
2,01097,20200514,,2.0732751229444,1.3706511222437,108.0
3,02000,20200514,0.0,0.28011204481793,0.34675572928508,213.0
4,04000,20200514,-1.0,0.42517006802721,0.3475583698749,178.5016
5,04013,20200514,0.0,0.28303575930654,0.14071353890344,798.5416
6,04019,20200514,0.0,0.0,0.1523966971596,372.9643
7,04021,20200514,,0.0,0.3079742130021,111.3096
8,05000,20200514,0.0,0.74611173567677,0.22910936300209,673.0733
9,06000,20200514,0.0,0.4341899164977,0.1882054613935,958.1768
10,06001,20200514,0.0,0.0,0.2020805500276,255.0394
11,06013,20200514,0.0,0.0,0.16803074229877,265.9898
12,06019,20200514,0.0,0.42094910472219,0.37412687870826,222.8406
13,06029,20200514,0.0,0.0,0.22865272536659,227.7223
14,06037,20200514,0.0,0.51653872878038,0.24699573143411,750.856
15,06059,20200514,0.0,0.30309250351714,0.27946499486759,252.7141
16,06065,20200514,0.0,0.67226005902747,0.58030189176599,269.0015
17,06067,20200514,0.0,0.0,0.29989170182775,166.7354
18,06071,20200514,0.0,0.21892114782859,0.3337597687768,182.3023
19,06073,20200514,-1.0,0.0,0.15527237350564,381.0179
20,06075,20200514,0.0,0.0,0.29239320407829,171.0
21,06077,20200514,0.0,0.17915514494912,0.36141028942,147.5447
22,06079,20200514,,0.0,0.4072961673248,106.1276
23,06081,20200514,0.0,0.0,0.25565579360777,198.652
24,06083,20200514,-1.0,0.0,0.40059910268675,111.901
25,06085,20200514,0.0,0.53354232698849,0.4021735228455,329.7247
26,06095,20200514,,0.0,0.43517562777491,110.9688
27,06097,20200514,0.0,1.0070096284749,0.7599880614932,171.9088
28,06099,20200514,-1.0,0.0,0.35836996884576,137.1682
29,06107,20200514,-1.0,0.0,0.34481920985426,111.6118
30,06111,20200514,0.0,0.44631797819529,0.39315992519171,210.1289
31,08000,20200514,-1.0,0.74811371153302,0.23718966231835,694.982
32,08013,20200514,0.0,0.17442497938317,0.39809870438776,109.9626
33,08031,20200514,,0.35284470354899,0.48931322586896,101.7922
34,08041,20200514,1.0,0.6315551260088,0.4089547738484,284.2763
35,08069,20200514,-1.0,0.0,0.25654855114421,154.9265
36,09000,20200514,-1.0,0.45362903225806,0.4468860876981,220.9208
37,09001,20200514,-1.0,0.090018472752498,0.19165288357078,293.91
38,09003,20200514,0.0,0.0,0.20947503335023,262.5443
39,09009,20200514,0.0,0.0,0.19239462744443,287.9692
40,09011,20200514,0.0,0.0,0.47174940549059,104.6557
41,10000,20200514,-1.0,0.0,0.37313432835821,125.373
42,10003,20200514,0.0,0.53366105458338,0.48898046310426,175.6343
43,12000,20200514,0.0,0.18000447423158,0.093610964714229,1269.1386
44,12001,20200514,0.0,0.20994940324406,0.46153478551511,110.2898
45,12011,20200514,0.0,1.2091936378919,0.72792539990104,172.0
46,12031,20200514,-1.0,0.20142369843417,0.38191738006851,149.0326
47,12033,20200514,-1.0,0.0,0.38815136969857,125.8112
48,12057,20200514,0.0,0.11892697903164,0.22022722166458,255.6777
49,12071,20200514,0.0,0.088435631663899,0.21514538138385,238.4397
50,12073,20200514,-1.0,0.0,0.39901727167868,110.006
51,12081,20200514,0.0,0.13003899418537,0.34150412957132,156.0656
52,12083,20200514,0.0,0.24333251016752,0.40915139698688,127.4356
53,12086,20200514,1.0,0.87297037427756,0.75676481101551,150.9998
54,12095,20200514,0.0,0.10589046713287,0.31644056852154,157.5515
55,12099,20200514,1.0,0.22142465862606,0.38749759101193,154.2987
56,12101,20200514,0.0,0.17867865931346,0.32167826735552,168.4552
57,12103,20200514,0.0,0.10965841563758,0.1939427930309,380.0
58,12105,20200514,1.0,1.6555024827096,1.1914313439192,157.3155
59,12115,20200514,0.0,0.0,0.25752907548397,160.8753
60,12127,20200514,0.0,0.0,0.28213046515766,173.6073
61,13000,20200514,0.0,0.37398554766202,0.095511272293444,1545.0987
62,13121,20200514,0.0,0.0,0.32886078064431,109.8932
63,15003,20200514,0.0,0.13846767951567,0.28424013807519,202.0
64,16000,20200514,0.0,0.98328416912488,0.40940072098665,348.4136
65,16001,20200514,0.0,0.0,0.28085990934715,178.1351
66,17000,20200514,0.0,0.32327111836381,0.11403813357541,1281.7914
67,17031,20200514,0.0,0.24670944247478,0.11931499293648,958.9732
68,17043,20200514,0.0,0.025113928032405,0.18893770863972,290.5338
69,17089,20200514,0.0,0.0,0.21560744003433,166.9472
70,17097,20200514,1.0,0.5640579575281,0.62160535347477,131.2341
71,17111,20200514,-1.0,0.0,0.3859849059974,102.7031
72,17197,20200514,1.0,0.50317149224651,0.43580828822451,224.6013
73,17201,20200514,,0.41995060439515,0.48007916692906,137.2162
74,18000,20200514,-1.0,0.36997211271056,0.11579230571794,1125.3344
75,18003,20200514,0.0,0.53293171289914,0.60126571522813,156.6938
76,18089,20200514,0.0,0.22521423175166,0.35385071008531,179.4694
77,18097,20200514,-1.0,0.31839933906614,0.52354732523844,108.9022
78,18141,20200514,,0.18014507990198,0.47938841029181,100.5993
79,19000,20200514,0.0,0.89096826688365,0.2114704545023,840.3316
80,19113,20200514,,0.0,0.43899183022225,106.2855
81,19153,20200514,0.0,0.21602154445806,0.31209686488518,206.1222
82,20000,20200514,0.0,0.10996162803637,0.063917874070819,630.5682
83,20173,20200514,-1.0,0.081742669901478,0.29492647153998,176.433
84,21000,20200514,0.0,0.34622731614136,0.13820832808845,818.7786
